dataset,lambda_sparsity,n,base_acc_mean,base_acc_std,base_acc_min,base_acc_max,base_f1_mean,base_f1_std,base_f1_min,base_f1_max,residual_acc_mean,residual_acc_std,residual_acc_min,residual_acc_max,residual_f1_mean,residual_f1_std,residual_f1_min,residual_f1_max,full_acc_mean,full_acc_std,full_acc_min,full_acc_max,full_f1_mean,full_f1_std,full_f1_min,full_f1_max,base_selected_mean,base_selected_std,base_selected_min,base_selected_max,residual_effective_selected_mean,residual_effective_selected_std,residual_effective_selected_min,residual_effective_selected_max,full_selected_mean,full_selected_std,full_selected_min,full_selected_max,primary_complementary_overlap_mean,primary_complementary_overlap_std,primary_complementary_overlap_min,primary_complementary_overlap_max,primary_residual_self_overlap_mean,primary_residual_self_overlap_std,primary_residual_self_overlap_min,primary_residual_self_overlap_max,base_mask_jaccard_mean,residual_effective_mask_jaccard_mean,full_mask_jaccard_mean
Gisette,0.0,5,0.9746666666666666,0.0013540064007726478,0.9733333333333334,0.9766666666666667,0.9746165063705231,0.0013447579777421035,0.9732441471571907,0.9766277128547579,0.495,0.02499999999999999,0.4691666666666667,0.5425,0.512937192462459,0.03275703839433485,0.4633529907329402,0.5481481481481482,0.9754999999999999,0.0014529663145135582,0.9733333333333334,0.9766666666666667,0.9754466384566106,0.0014588809640547439,0.9732441471571907,0.9766666666666667,4156.4,37.24835566840502,4113.0,4224.0,310.4,39.74720115932693,249.0,358.0,4466.8,17.440183485273312,4445.0,4494.0,0.0,0.0,0.0,0.0,4156.4,37.24835566840502,4113.0,4224.0,0.825027452813387,0.10220239015221251,0.8538004544271625
Gisette,0.01,5,0.9758333333333333,0.0017480147469502612,0.9733333333333334,0.9775,0.9757568047754932,0.0017489309508634753,0.9732888146911519,0.9774436090225563,0.5130000000000001,0.06183670251378043,0.4225,0.6125,0.5182142682574302,0.08750380437348156,0.40077444336882867,0.6197874080130826,0.9753333333333334,0.002211083193570281,0.9716666666666667,0.9783333333333334,0.97525809459467,0.002228351950245588,0.9715719063545151,0.9782971619365609,2326.2,13.673331708109767,2309.0,2339.0,90.2,33.25898374875577,45.0,135.0,2416.4,46.52999032881911,2354.0,2474.0,0.0,0.0,0.0,0.0,2326.2,13.673331708109767,2309.0,2339.0,0.8064997810404121,0.022956055691121094,0.7793571150141414
Gisette,0.1,5,0.97,0.0022973414586817086,0.9666666666666667,0.9725,0.9699894191835877,0.0023051335286675603,0.9666666666666667,0.9725228975853455,0.5008333333333334,0.002981423969999736,0.49833333333333335,0.5066666666666667,0.1864430945050068,0.2558222859083883,0.0,0.6666666666666666,0.97,0.0021730674684008904,0.9675,0.9733333333333334,0.9699699587348576,0.0021758028195497767,0.9674728940783986,0.9732888146911519,331.4,2.0591260281974,328.0,334.0,0.8,0.7483314773547883,0.0,2.0,332.2,2.3151673805580453,328.0,335.0,0.0,0.0,0.0,0.0,331.4,2.0591260281974,328.0,334.0,0.8478746387148595,0.1,0.8441042267238904
