dataset,variant,variant_label,n_folds,final_val_loss_mean,final_val_loss_std,final_val_acc_mean,final_val_acc_std,final_val_f1_mean,final_val_f1_std,min_val_loss_mean,min_val_loss_std,stage2_or_refine_val_loss_delta_mean,stage2_or_refine_val_loss_delta_std,primary_to_final_f1_delta_mean,primary_to_final_f1_delta_std,primary_selected_mean,primary_selected_std,comp_selected_mean,comp_selected_std,mask_overlap_mean,mask_overlap_std,rule_count_mean,rule_count_std,elapsed_seconds_mean,elapsed_seconds_std
Gisette,stage1_unfreeze_refinement,Stage1 primary then joint unfreeze refinement,1,0.1077564863115549,0.0,0.9783333333333334,0.0,0.978369384359401,0.0,0.07739392849306266,0.0,0.00444205311437447,0.0,0.004310806953543245,0.0,2207.0,0.0,999.0,0.0,0.0,0.0,18.0,0.0,98.4671853305772,0.0
Gisette,joint_no_freeze,"Joint no-freeze, same total epoch budget",1,0.11512271950642268,0.0,0.9758333333333333,0.0,0.9756507136859782,0.0,0.09983740401764711,0.0,,,,,2128.0,0.0,1137.0,0.0,0.0,0.0,18.0,0.0,137.32941639982164,0.0
Gisette,sequential_freeze,Sequential freeze: primary then complementary,1,0.07956823714077473,0.0,0.9733333333333334,0.0,0.9732441471571907,0.0,0.07745270962516466,0.0,0.0007598965118328777,0.0,4.4817173941114063e-05,0.0,2396.0,0.0,722.0,0.0,0.0,0.0,18.0,0.0,100.42186354473233,0.0
