dataset,fold,variant,variant_label,n_epochs,final_stage,final_train_total_loss,final_train_pred_loss,final_val_loss,final_val_acc,final_val_f1,min_val_loss,min_val_loss_epoch,stage2_or_refine_val_loss_delta,primary_to_final_f1_delta,primary_selected,comp_selected,mask_overlap,rule_count,elapsed_seconds
Gisette,1,joint_no_freeze,"Joint no-freeze, same total epoch budget",90,Joint no-freeze,0.008111973243455093,0.0028075343215217194,0.11512271950642268,0.9758333333333333,0.9756507136859782,0.09983740401764711,84,,,2128.0,1137.0,0.0,18.0,137.32941639982164
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,90,Complementary hard,0.0008639960130676627,0.0008639960130676627,0.07956823714077473,0.9733333333333334,0.9732441471571907,0.07745270962516466,57,0.0007598965118328777,4.4817173941114063e-05,2396.0,722.0,0.0,18.0,100.42186354473233
Gisette,1,stage1_unfreeze_refinement,Stage1 primary then joint unfreeze refinement,90,Unfreeze refinement,0.00793471938620011,0.0026370233421524366,0.1077564863115549,0.9783333333333334,0.978369384359401,0.07739392849306266,47,0.00444205311437447,0.004310806953543245,2207.0,999.0,0.0,18.0,98.4671853305772
