dataset,fold,variant,variant_label,component,task_kind,n_train,n_val,n_features,n_outputs,seed,train_seconds,criterion,variant_meta,acc,precision,recall,f1,base_active_features,residual_active_features,union_active_features,overlap_active_features,mask_overlap_rate,mask_disjointness_rate,base_prob_mean,residual_prob_mean,base_rule_count,residual_rule_count,total_rule_count,selected_feature_count,rule_weight_entropy,rule_weight_entropy_norm,effective_rule_count,near_zero_rule_weight_rate,near_zero_rule_firing_rate,near_zero_firing_or_weight_rate,nonfinite_rule_weight_count,nonfinite_rule_firing_count,nonfinite_logit_count
Breast_Cancer_Wisconsin_(Original),1,prod_firing,Product firing instead of HTSK,primary,binary,559,140,80,1,42001,3.42741219419986,BCEWithLogitsLoss,"{""label"": ""Product firing instead of HTSK""}",0.95,0.9555555555555556,0.8958333333333334,0.9247311827956989,17.0,63.0,80.0,0.0,0.0,1.0,0.3624102473258972,0.5812908411026001,6.0,11.0,17.0,80.0,0.30109540435784893,0.10627346811525058,1.437169749396188,0.7997344732284546,,0.7997344732284546,0.0,0.0,0.0
Breast_Cancer_Wisconsin_(Original),1,prod_firing,Product firing instead of HTSK,complementary,binary,559,140,80,1,42001,3.42741219419986,BCEWithLogitsLoss,"{""label"": ""Product firing instead of HTSK""}",0.8785714285714286,0.8444444444444444,0.7916666666666666,0.8172043010752689,17.0,63.0,80.0,0.0,0.0,1.0,0.3624102473258972,0.5812908411026001,6.0,11.0,17.0,80.0,1.147605649488313,0.4050544437287109,3.4633655071258547,0.22865604360898337,,0.22865604360898337,0.0,0.0,0.0
Breast_Cancer_Wisconsin_(Original),1,prod_firing,Product firing instead of HTSK,full,binary,559,140,80,1,42001,3.42741219419986,BCEWithLogitsLoss,"{""label"": ""Product firing instead of HTSK""}",0.9571428571428572,0.9772727272727273,0.8958333333333334,0.9347826086956522,17.0,63.0,80.0,0.0,0.0,1.0,0.3624102473258972,0.5812908411026001,6.0,11.0,17.0,80.0,1.147605649488313,0.4050544437287109,3.4633655071258547,0.22865604360898337,,0.22865604360898337,0.0,0.0,0.0
Breast_Cancer_Wisconsin_(Original),1,joint_training_same_budget,"Joint training, same epoch budget",primary,binary,559,140,80,1,42001,6.081471493467689,BCEWithLogitsLoss,"{""joint_epochs"": 170, ""label"": ""Joint training, same epoch budget""}",0.9571428571428572,0.9375,0.9375,0.9375,20.0,32.0,52.0,0.0,0.0,1.0,0.30129343271255493,0.5393827557563782,6.0,11.0,17.0,52.0,1.4251330264977047,0.5030094251036644,4.175576266220638,0.6470588445663452,,0.6470588445663452,0.0,0.0,0.0
Breast_Cancer_Wisconsin_(Original),1,joint_training_same_budget,"Joint training, same epoch budget",complementary,binary,559,140,80,1,42001,6.081471493467689,BCEWithLogitsLoss,"{""joint_epochs"": 170, ""label"": ""Joint training, same epoch budget""}",0.8071428571428572,0.8,0.5833333333333334,0.6746987951807228,20.0,32.0,52.0,0.0,0.0,1.0,0.30129343271255493,0.5393827557563782,6.0,11.0,17.0,52.0,2.604661474909101,0.9193312227725983,13.540919487816947,0.0,,0.0,0.0,0.0,0.0
Breast_Cancer_Wisconsin_(Original),1,joint_training_same_budget,"Joint training, same epoch budget",full,binary,559,140,80,1,42001,6.081471493467689,BCEWithLogitsLoss,"{""joint_epochs"": 170, ""label"": ""Joint training, same epoch budget""}",0.9642857142857143,0.9777777777777777,0.9166666666666666,0.946236559139785,20.0,32.0,52.0,0.0,0.0,1.0,0.30129343271255493,0.5393827557563782,6.0,11.0,17.0,52.0,2.604661474909101,0.9193312227725983,13.540919487816947,0.0,,0.0,0.0,0.0,0.0
Breast_Cancer_Wisconsin_(Original),1,dense_tsk_same_rules,"Dense TSK-ANFIS, same total rules/epochs",full,binary,559,140,80,1,42001,1.8942423984408379,BCEWithLogitsLoss,"{""dense_rules"": 17, ""epochs"": 170, ""label"": ""Dense TSK-ANFIS, same total rules/epochs""}",0.9785714285714285,0.9787234042553191,0.9583333333333334,0.968421052631579,,,,,,,,,,,17.0,80.0,2.7143595354897636,0.9580498265368598,15.096880442755563,0.0,0.0,0.0,0.0,0.0,0.0
Breast_Cancer_Wisconsin_(Original),2,full_grs,Full GRS-ANFIS,primary,binary,559,140,80,1,42002,3.4515424417331815,BCEWithLogitsLoss,"{""label"": ""Full GRS-ANFIS""}",0.9642857142857143,0.9215686274509803,0.9791666666666666,0.9494949494949495,34.0,40.0,74.0,0.0,0.0,1.0,0.46100035309791565,0.5135724544525146,6.0,11.0,17.0,74.0,1.6686844961983818,0.5889724114111492,5.311553008215768,0.6470588445663452,,0.6470588445663452,0.0,0.0,0.0
Breast_Cancer_Wisconsin_(Original),2,full_grs,Full GRS-ANFIS,complementary,binary,559,140,80,1,42002,3.4515424417331815,BCEWithLogitsLoss,"{""label"": ""Full GRS-ANFIS""}",0.7928571428571428,0.7567567567567568,0.5833333333333334,0.6588235294117647,34.0,40.0,74.0,0.0,0.0,1.0,0.46100035309791565,0.5135724544525146,6.0,11.0,17.0,74.0,2.726433994088854,0.9623115794999259,15.28286909375872,0.0,,0.0,0.0,0.0,0.0
Breast_Cancer_Wisconsin_(Original),2,full_grs,Full GRS-ANFIS,full,binary,559,140,80,1,42002,3.4515424417331815,BCEWithLogitsLoss,"{""label"": ""Full GRS-ANFIS""}",0.9642857142857143,0.9215686274509803,0.9791666666666666,0.9494949494949495,34.0,40.0,74.0,0.0,0.0,1.0,0.46100035309791565,0.5135724544525146,6.0,11.0,17.0,74.0,2.726433994088854,0.9623115794999259,15.28286909375872,0.0,,0.0,0.0,0.0,0.0
