dataset,variant,variant_label,full_acc_mean,full_acc_std,full_f1_mean,full_f1_std,selected_feature_count_mean,total_rule_count_mean,mask_overlap_rate_mean,mask_disjointness_rate_mean,rule_weight_entropy_norm_mean,effective_rule_count_mean,near_zero_firing_or_weight_rate_mean,nonfinite_logit_count_mean,primary_acc_mean,primary_f1_mean,full_minus_primary_acc,full_minus_primary_f1
Breast_Cancer_Wisconsin_(Original),dense_tsk_same_rules,"Dense TSK-ANFIS, same total rules/epochs",0.9628057553956835,0.0114226085577807,0.9462427451573682,0.016655006837228203,80.0,17.0,,,0.9115948884000759,13.360204543077444,0.0,0.0,,,,
Breast_Cancer_Wisconsin_(Original),full_grs,Full GRS-ANFIS,0.9556320657759507,0.01392759857809935,0.9338115122927786,0.02256335401959959,72.2,17.0,0.0,1.0,0.9347608932151333,14.216196709776955,0.0,0.0,0.9499075025693731,0.9246446566034194,0.00572456320657766,0.009166855689359155
Breast_Cancer_Wisconsin_(Original),primary_only_same_budget,"Primary-only, same epoch budget",0.9527852004110997,0.009711300302959136,0.9308465450777985,0.015048638646421622,37.0,6.0,0.0,1.0,0.5266426982339338,4.610444981752908,0.6470588445663452,0.0,0.9527852004110997,0.9308465450777985,0.0,0.0
Breast_Cancer_Wisconsin_(Original),joint_training_same_budget,"Joint training, same epoch budget",0.9527954779033916,0.009662515435436747,0.9304160051666883,0.014880714627430907,52.6,17.0,0.0,1.0,0.9605066490301983,15.23433595475043,0.0,0.0,0.9499177800616649,0.9263146335258797,0.0028776978417266452,0.004101371640808593
Breast_Cancer_Wisconsin_(Original),prod_firing,Product firing instead of HTSK,0.9513874614594039,0.01985650343586448,0.9286384828911377,0.029319293952815163,78.4,17.0,0.0,1.0,0.4116767589840073,3.8296154383973495,0.221726456284523,0.0,0.9513977389516958,0.9290863317285959,-1.027749229187691e-05,-0.0004478488374581868
Breast_Cancer_Wisconsin_(Original),no_disjoint,No disjoint complementary routing,0.9499280575539568,0.006390385699844986,0.9259579057126303,0.011480177511470024,73.8,17.0,0.45652635889478,0.5434736411052201,0.935499950000463,14.317518114225226,0.0,0.0,0.9499280575539568,0.9256688038800821,0.0,0.00028910183254815536
Breast_Cancer_Wisconsin_(Original),no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",0.9413463514902365,0.008317444407121151,0.9129374951225101,0.014314072563435908,78.6,17.0,0.0,1.0,0.9707940217236943,15.680010690444055,0.0,0.0,0.9299075025693732,0.8957228565869173,0.011438848920863331,0.017214638535592797
