dataset,fold,tau,n_eval,input_dim,task_kind,payload_path,lambda_base_s1,lambda_resid_s2,base_selected,residual_self_selected,residual_effective_selected,full_selected,primary_complementary_overlap,primary_residual_self_overlap,base_acc,base_f1,residual_acc,residual_f1,full_acc,full_f1
Gisette,1,0.4,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_01/gh_anfis.pt,0.01,0.001,5000,5000,0,5000,0,5000,0.9775,0.9774436090225563,0.5,0.6666666666666666,0.9783333333333334,0.9782971619365609
Gisette,1,0.5,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_01/gh_anfis.pt,0.01,0.001,2401,2645,244,2645,0,2401,0.9775,0.9774436090225563,0.44583333333333336,0.4562551103843009,0.9766666666666667,0.9765886287625418
Gisette,1,0.6,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_01/gh_anfis.pt,0.01,0.001,0,0,0,0,0,0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666
Gisette,1,0.7,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_01/gh_anfis.pt,0.01,0.001,0,0,0,0,0,0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666
Gisette,2,0.3,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_02/gh_anfis.pt,0.01,0.001,5000,5000,0,5000,0,5000,0.9791666666666666,0.9791492910758965,0.5,0.6666666666666666,0.9791666666666666,0.9791492910758965
Gisette,2,0.4,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_02/gh_anfis.pt,0.01,0.001,5000,5000,0,5000,0,5000,0.9791666666666666,0.9791492910758965,0.5,0.6666666666666666,0.9791666666666666,0.9791492910758965
Gisette,2,0.5,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_02/gh_anfis.pt,0.01,0.001,2448,2729,281,2729,0,2448,0.9791666666666666,0.9791492910758965,0.425,0.4558359621451104,0.9791666666666666,0.9791492910758965
Gisette,2,0.6,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_02/gh_anfis.pt,0.01,0.001,0,0,0,0,0,0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666
Gisette,2,0.7,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_02/gh_anfis.pt,0.01,0.001,0,0,0,0,0,0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666
Gisette,3,0.3,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_03/gh_anfis.pt,0.01,0.001,5000,5000,0,5000,0,5000,0.9766666666666667,0.9765886287625418,0.5,0.6666666666666666,0.9766666666666667,0.9765886287625418
Gisette,3,0.4,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_03/gh_anfis.pt,0.01,0.001,5000,5000,0,5000,0,5000,0.9766666666666667,0.9765886287625418,0.5,0.6666666666666666,0.9766666666666667,0.9765886287625418
Gisette,3,0.5,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_03/gh_anfis.pt,0.01,0.001,2392,2670,278,2670,0,2392,0.9766666666666667,0.9765886287625418,0.435,0.46445497630331756,0.9775,0.9774436090225563
Gisette,3,0.6,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_03/gh_anfis.pt,0.01,0.001,0,0,0,0,0,0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666
Gisette,3,0.7,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_03/gh_anfis.pt,0.01,0.001,0,0,0,0,0,0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666
Gisette,4,0.3,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_04/gh_anfis.pt,0.01,0.001,5000,5000,0,5000,0,5000,0.9666666666666667,0.9668874172185431,0.5,0.6666666666666666,0.9666666666666667,0.9668874172185431
Gisette,4,0.4,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_04/gh_anfis.pt,0.01,0.001,5000,5000,0,5000,0,5000,0.9666666666666667,0.9668874172185431,0.5,0.6666666666666666,0.9666666666666667,0.9668874172185431
Gisette,4,0.5,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_04/gh_anfis.pt,0.01,0.001,2391,2659,268,2659,0,2391,0.9666666666666667,0.9668874172185431,0.495,0.517515923566879,0.9675,0.9676884838442419
Gisette,4,0.6,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_04/gh_anfis.pt,0.01,0.001,0,0,0,0,0,0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666
Gisette,4,0.7,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_04/gh_anfis.pt,0.01,0.001,0,0,0,0,0,0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666
Gisette,5,0.3,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_05/gh_anfis.pt,0.01,0.001,5000,5000,0,5000,0,5000,0.9775,0.9774436090225563,0.5,0.6666666666666666,0.9775,0.9774436090225563
Gisette,5,0.4,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_05/gh_anfis.pt,0.01,0.001,5000,5000,0,5000,0,5000,0.9775,0.9774436090225563,0.5,0.6666666666666666,0.9775,0.9774436090225563
Gisette,5,0.5,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_05/gh_anfis.pt,0.01,0.001,2412,2701,289,2701,0,2412,0.9775,0.9774436090225563,0.49416666666666664,0.5216706067769897,0.9783333333333334,0.9783333333333334
Gisette,5,0.6,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_05/gh_anfis.pt,0.01,0.001,0,0,0,0,0,0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666
Gisette,5,0.7,1200,5000,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Gisette__no_mi/fold_05/gh_anfis.pt,0.01,0.001,0,0,0,0,0,0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.6666666666666666
