dataset,fold,tau,n_eval,input_dim,task_kind,payload_path,lambda_base_s1,lambda_resid_s2,base_selected,residual_self_selected,residual_effective_selected,full_selected,primary_complementary_overlap,primary_residual_self_overlap,base_acc,base_f1,residual_acc,residual_f1,full_acc,full_f1
Breast_Cancer_Wisconsin_(Original),4,0.4,140,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_04/gh_anfis.pt,0.0,0.0,6,9,3,9,0,6,0.9642857142857143,0.9473684210526315,0.8285714285714286,0.7551020408163265,0.9785714285714285,0.9690721649484536
Breast_Cancer_Wisconsin_(Original),4,0.5,140,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_04/gh_anfis.pt,0.0,0.0,6,9,3,9,0,6,0.9642857142857143,0.9473684210526315,0.8285714285714286,0.7551020408163265,0.9785714285714285,0.9690721649484536
Breast_Cancer_Wisconsin_(Original),4,0.6,140,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_04/gh_anfis.pt,0.0,0.0,5,3,3,8,0,0,0.9714285714285714,0.9583333333333334,0.8285714285714286,0.7551020408163265,0.9642857142857143,0.9494949494949495
Breast_Cancer_Wisconsin_(Original),4,0.7,140,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_04/gh_anfis.pt,0.0,0.0,5,3,3,8,0,0,0.9714285714285714,0.9583333333333334,0.8285714285714286,0.7551020408163265,0.9642857142857143,0.9494949494949495
Breast_Cancer_Wisconsin_(Original),5,0.3,139,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_05/gh_anfis.pt,0.0,0.0,9,9,0,9,0,9,0.9784172661870504,0.9690721649484536,0.34532374100719426,0.5133689839572193,0.9712230215827338,0.9591836734693877
Breast_Cancer_Wisconsin_(Original),5,0.4,139,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_05/gh_anfis.pt,0.0,0.0,8,9,1,9,0,8,0.9712230215827338,0.9583333333333334,0.34532374100719426,0.5133689839572193,0.9640287769784173,0.9504950495049505
Breast_Cancer_Wisconsin_(Original),5,0.5,139,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_05/gh_anfis.pt,0.0,0.0,6,9,3,9,0,6,0.9784172661870504,0.9690721649484536,0.8057553956834532,0.6896551724137931,0.9784172661870504,0.9690721649484536
Breast_Cancer_Wisconsin_(Original),5,0.6,139,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_05/gh_anfis.pt,0.0,0.0,6,3,3,9,0,0,0.9784172661870504,0.9690721649484536,0.8057553956834532,0.6896551724137931,0.9784172661870504,0.9690721649484536
Breast_Cancer_Wisconsin_(Original),5,0.7,139,9,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Breast_Cancer_Wisconsin__Original___no_mi/fold_05/gh_anfis.pt,0.0,0.0,5,3,3,8,0,0,0.9712230215827338,0.9583333333333334,0.8057553956834532,0.6896551724137931,0.9640287769784173,0.9473684210526315
Vowel,1,0.3,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_01/gh_anfis.pt,0.01,0.0,26,26,0,26,0,26,0.9444444444444444,0.9439639832828688,0.09090909090909091,0.015151515151515152,0.9444444444444444,0.9439639832828688
Vowel,1,0.4,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_01/gh_anfis.pt,0.01,0.0,26,26,0,26,0,26,0.9444444444444444,0.9439639832828688,0.09090909090909091,0.015151515151515152,0.9444444444444444,0.9439639832828688
Vowel,1,0.5,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_01/gh_anfis.pt,0.01,0.0,26,26,0,26,0,26,0.9444444444444444,0.9439639832828688,0.09090909090909091,0.015151515151515152,0.9444444444444444,0.9439639832828688
Vowel,1,0.6,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_01/gh_anfis.pt,0.01,0.0,26,0,0,26,0,0,0.9444444444444444,0.9439639832828688,0.09090909090909091,0.015151515151515152,0.9444444444444444,0.9439639832828688
Vowel,1,0.7,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_01/gh_anfis.pt,0.01,0.0,26,0,0,26,0,0,0.9444444444444444,0.9439639832828688,0.09090909090909091,0.015151515151515152,0.9444444444444444,0.9439639832828688
Vowel,2,0.3,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_02/gh_anfis.pt,0.01,0.0,26,26,0,26,0,26,0.9646464646464646,0.9636216661758457,0.09090909090909091,0.015151515151515152,0.9696969696969697,0.9690485262677776
Vowel,2,0.4,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_02/gh_anfis.pt,0.01,0.0,26,26,0,26,0,26,0.9646464646464646,0.9636216661758457,0.09090909090909091,0.015151515151515152,0.9696969696969697,0.9690485262677776
Vowel,2,0.5,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_02/gh_anfis.pt,0.01,0.0,26,26,0,26,0,26,0.9646464646464646,0.9636216661758457,0.09090909090909091,0.015151515151515152,0.9696969696969697,0.9690485262677776
Vowel,2,0.6,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_02/gh_anfis.pt,0.01,0.0,26,0,0,26,0,0,0.9646464646464646,0.9636216661758457,0.09090909090909091,0.015151515151515152,0.9696969696969697,0.9690485262677776
Vowel,2,0.7,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_02/gh_anfis.pt,0.01,0.0,26,0,0,26,0,0,0.9646464646464646,0.9636216661758457,0.09090909090909091,0.015151515151515152,0.9696969696969697,0.9690485262677776
Vowel,3,0.3,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_03/gh_anfis.pt,0.01,0.0,26,26,0,26,0,26,0.98989898989899,0.9898677174218969,0.09090909090909091,0.015151515151515152,0.98989898989899,0.9898677174218969
Vowel,3,0.4,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_03/gh_anfis.pt,0.01,0.0,26,26,0,26,0,26,0.98989898989899,0.9898677174218969,0.09090909090909091,0.015151515151515152,0.98989898989899,0.9898677174218969
Vowel,3,0.5,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_03/gh_anfis.pt,0.01,0.0,26,26,0,26,0,26,0.98989898989899,0.9898677174218969,0.09090909090909091,0.015151515151515152,0.98989898989899,0.9898677174218969
Vowel,3,0.6,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_03/gh_anfis.pt,0.01,0.0,26,0,0,26,0,0,0.98989898989899,0.9898677174218969,0.09090909090909091,0.015151515151515152,0.98989898989899,0.9898677174218969
Vowel,3,0.7,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_03/gh_anfis.pt,0.01,0.0,25,0,0,25,0,0,0.9646464646464646,0.9642527530509518,0.09090909090909091,0.015151515151515152,0.9696969696969697,0.9693071581053568
Vowel,4,0.3,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_04/gh_anfis.pt,0.01,0.0,26,26,0,26,0,26,0.9747474747474747,0.9744910494910495,0.09090909090909091,0.015151515151515152,0.9747474747474747,0.9744910494910495
Vowel,4,0.4,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_04/gh_anfis.pt,0.01,0.0,26,26,0,26,0,26,0.9747474747474747,0.9744910494910495,0.09090909090909091,0.015151515151515152,0.9747474747474747,0.9744910494910495
