dataset,variant,variant_label,full_acc_mean,full_acc_std,full_f1_mean,full_f1_std,selected_feature_count_mean,total_rule_count_mean,mask_overlap_rate_mean,mask_disjointness_rate_mean,rule_weight_entropy_norm_mean,effective_rule_count_mean,near_zero_firing_or_weight_rate_mean,nonfinite_logit_count_mean,primary_acc_mean,primary_f1_mean,full_minus_primary_acc,full_minus_primary_f1
Gisette,no_disjoint,No disjoint complementary routing,0.9721666666666666,0.004166666666666707,0.9721654810484479,0.004144161927861656,2394.5,18.0,0.32071672077298596,0.679283279227014,0.9912381419539451,17.549873938560484,0.0,0.0,0.9726666666666667,0.9726628620528015,-0.000500000000000056,-0.000497381004353592
Gisette,primary_only_same_budget,"Primary-only, same epoch budget",0.971,0.0040000000000000036,0.9709982193615385,0.003943310875681616,2287.0,7.0,0.0,1.0,0.6732386902570724,6.999999962806701,0.6111111044883728,0.0,0.971,0.9709982193615385,0.0,0.0
Gisette,full_grs,Full GRS-ANFIS,0.9705,0.003166666666666651,0.9704343469061627,0.003188357601349834,2698.0,18.0,0.0,1.0,0.9912374156415462,17.549837191263833,0.0,0.0,0.9701666666666666,0.9701312349287428,0.00033333333333340764,0.00030311197741994533
Gisette,joint_training_same_budget,"Joint training, same epoch budget",0.9686666666666667,0.003666666666666707,0.9686308731815796,0.003619210402505957,3333.5,18.0,0.0,1.0,0.9912390828231971,17.549921991348267,0.0,0.0,0.9686666666666667,0.9686639533771109,0.0,-3.30801955312765e-05
Gisette,dense_tsk_same_rules,"Dense TSK-ANFIS, same total rules/epochs",0.9684999999999999,0.004500000000000004,0.9683901171631546,0.004510518500947136,5000.0,18.0,,,1.0000000018775463,17.999999945958457,0.0,0.0,,,,
Gisette,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",0.9675,0.0038333333333333552,0.9673709928576919,0.003789302246265225,2346.5,18.0,0.0,1.0,0.9912256186306476,17.549238835016887,0.0,0.0,0.9670000000000001,0.9668629687542205,0.0004999999999999449,0.0005080241034713939
Gisette,prod_firing,Product firing instead of HTSK,0.5,0.0,0.3333333333333333,0.3333333333333333,0.0,18.0,,,0.9912391901016235,17.549928665161133,0.0,0.0,0.5,0.6666666666666666,0.0,-0.3333333333333333
