dataset,variant,variant_label,full_acc_mean,full_acc_std,full_f1_mean,full_f1_std,selected_feature_count_mean,total_rule_count_mean,mask_overlap_rate_mean,mask_disjointness_rate_mean,rule_weight_entropy_norm_mean,effective_rule_count_mean,near_zero_firing_or_weight_rate_mean,nonfinite_logit_count_mean,primary_acc_mean,primary_f1_mean,full_minus_primary_acc,full_minus_primary_f1
Vowel,dense_tsk_same_rules,"Dense TSK-ANFIS, same total rules/epochs",0.9727272727272727,0.005150524761204819,0.9725569203812942,0.005307643412091608,29.0,17.0,,,0.853188379424991,11.406596377401641,0.0,0.0,,,,
Vowel,no_disjoint,No disjoint complementary routing,0.9696969696969695,0.005532551085910764,0.9695330944402152,0.005660218808996167,27.0,17.0,0.6,0.4,0.9178978483484249,13.538933141303787,0.0,0.0,0.9494949494949495,0.94938322813358,0.02020202020202,0.020149866306635178
Vowel,full_grs,Full GRS-ANFIS,0.9656565656565655,0.007422696190252043,0.9656417653321678,0.007581154947963023,27.4,17.0,0.0,1.0,0.9193108686293016,13.603655188493054,0.0,0.0,0.9585858585858584,0.9583907522762012,0.007070707070707116,0.007251013055966649
Vowel,primary_only_same_budget,"Primary-only, same epoch budget",0.9555555555555555,0.01406907906786273,0.9554597654175476,0.014107646162063179,16.4,6.0,0.0,1.0,0.5102838484476311,4.318752994802263,0.6470588445663452,0.0,0.9555555555555555,0.9554597654175476,0.0,0.0
Vowel,prod_firing,Product firing instead of HTSK,0.9474747474747476,0.018515457353356926,0.947388789688255,0.018523802237967225,28.2,17.0,0.0,1.0,0.7238943365487186,8.048205501383,0.011259191465796903,0.0,0.9373737373737374,0.9370327440570897,0.010101010101010166,0.010356045631165323
Vowel,joint_training_same_budget,"Joint training, same epoch budget",0.7898989898989898,0.04646464646464645,0.7881170560939064,0.046648063130434195,21.4,17.0,0.0,1.0,0.8184613692640055,10.418405368593003,0.0,0.0,0.7404040404040403,0.7311481708484633,0.04949494949494948,0.05696888524544308
Vowel,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",0.7747474747474746,0.11554955130265224,0.7730514344341144,0.11591502098339507,27.4,17.0,0.0,1.0,0.7572725463094134,8.882468149878761,0.0,0.0,0.6767676767676767,0.6609753369664753,0.09797979797979794,0.11207609746763914
