index,dataset,mode,branch,acc_mean,acc_std,f1_mean,f1_std,raw_zero_rate_mean,raw_zero_rate_std,raw_near_zero_rate_mean,raw_near_zero_rate_std,log_underflow_pred_rate_mean,log_underflow_pred_rate_std,max_norm_weight_mean_mean,max_norm_weight_mean_std,max_norm_weight_p95_mean,max_norm_weight_p95_std,entropy_mean_mean,entropy_mean_std,effective_rule_count_mean_mean,effective_rule_count_mean_std,nan_count_mean,nan_count_std,inf_count_mean,inf_count_std,logits_nan_count_mean,logits_nan_count_std,logits_inf_count_mean,logits_inf_count_std,param_nan_count_mean,param_nan_count_std,param_inf_count_mean,param_inf_count_std
0,Gisette,htsk,base,0.9733333333333333,0.00525198375219625,0.9732914245138722,0.005241111926916474,0.0,0.0,0.0,0.0,0.0,0.0,0.1428761581579844,2.6835883973679746e-07,0.14289012551307678,6.882013820860081e-07,1.945909897486369,6.882551542807229e-08,6.99999984105428,2.7530206171228916e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Gisette,htsk,residual,0.9733333333333333,0.00525198375219625,0.9732914245138722,0.005241111926916474,0.0,0.0,0.0,0.0,0.0,0.0,0.09138628840446472,1.5011658982364144e-05,0.09169199566046397,2.305174639081994e-05,2.397890011469523,3.641903952116746e-07,10.99994150797526,3.970462797805106e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Gisette,prod,base,0.5,0.0,0.4444444444444444,0.3849001794597505,0.0,0.0,0.0,0.0,0.0,0.0,0.14285710453987122,0.0,0.1428571194410324,0.0,1.945909857749939,0.0,6.999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Gisette,prod,residual,0.5,0.0,0.4444444444444444,0.3849001794597505,0.0,0.0,0.0,0.0,0.0,0.0,0.09090908616781235,0.0,0.09090908616781235,0.0,2.397895574569702,0.0,11.000000953674316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,vowel,htsk,base,0.9444444444444443,0.015550307392263277,0.9440422172402178,0.015905941182122144,0.0,0.0,0.0,0.0,0.0,0.0,0.4955790042877197,0.018055628703703225,0.785671591758728,0.014400293361637987,1.3593254884084065,0.0570815596406912,4.019325335820516,0.2264069626331624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,vowel,htsk,residual,0.9444444444444443,0.015550307392263277,0.9440422172402178,0.015905941182122144,0.0,0.0,0.0,0.0,0.0,0.0,0.09090907126665115,0.0,0.09090908616781235,0.0,2.397895574569702,0.0,11.000000953674316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,vowel,prod,base,0.9343434343434343,0.012616157572521996,0.9339106124652483,0.012765245158314226,0.0,0.0,0.0,0.0,0.0,0.0,0.721896747748057,0.012792231538754738,0.9871679147084554,0.010011320814543194,0.7265094518661499,0.027597353016738147,2.2450493971506753,0.06757916576687187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,vowel,prod,residual,0.9343434343434343,0.012616157572521996,0.9339106124652483,0.012765245158314226,0.0,0.0,0.0,0.0,0.0,0.0,0.09090907126665115,0.0,0.09090908616781235,0.0,2.397895574569702,0.0,11.000000953674316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
