dataset,variant,variant_label,full_acc,full_f1,selected_features,mask_overlap_rate,primary_f1,full_minus_primary_f1,source
Spambase,no_disjoint,No disjoint complementary routing,0.9385 +/- 0.0069,0.9211 +/- 0.0096,52.40,0.3574,0.9034,0.0177,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/gisette_full_completion/mat6_architecture_spambase/attribution_summary.csv
Spambase,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",0.9294 +/- 0.0074,0.9099 +/- 0.0096,56.80,0.0000,0.8696,0.0403,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/gisette_full_completion/mat6_architecture_spambase/attribution_summary.csv
Spambase,dense_tsk_same_rules,"Dense TSK-ANFIS, same total rules/epochs",0.9418 +/- 0.0051,0.9257 +/- 0.0062,57.00,,,,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/gisette_full_completion/mat6_architecture_spambase/attribution_summary.csv
Spambase,prod_firing,Product firing instead of HTSK,0.9220 +/- 0.0104,0.9003 +/- 0.0143,56.40,0.0000,0.9009,-0.0006,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/gisette_full_completion/mat6_architecture_spambase/attribution_summary.csv
Vowel,full_grs,Full GRS-ANFIS,0.9657 +/- 0.0074,0.9656 +/- 0.0076,27.40,0.0000,0.9584,0.0073,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/legacy_preprocessing_bcwvowel/mat6_architecture_vowel/attribution_summary.csv
Vowel,primary_only_same_budget,"Primary-only, same epoch budget",0.9556 +/- 0.0141,0.9555 +/- 0.0141,16.40,0.0000,0.9555,0.0000,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/legacy_preprocessing_bcwvowel/mat6_architecture_vowel/attribution_summary.csv
Vowel,joint_training_same_budget,"Joint training, same epoch budget",0.7899 +/- 0.0465,0.7881 +/- 0.0466,21.40,0.0000,0.7311,0.0570,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/legacy_preprocessing_bcwvowel/mat6_architecture_vowel/attribution_summary.csv
Vowel,no_disjoint,No disjoint complementary routing,0.9697 +/- 0.0055,0.9695 +/- 0.0057,27.00,0.6000,0.9494,0.0201,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/legacy_preprocessing_bcwvowel/mat6_architecture_vowel/attribution_summary.csv
Vowel,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",0.7747 +/- 0.1155,0.7731 +/- 0.1159,27.40,0.0000,0.6610,0.1121,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/legacy_preprocessing_bcwvowel/mat6_architecture_vowel/attribution_summary.csv
Vowel,dense_tsk_same_rules,"Dense TSK-ANFIS, same total rules/epochs",0.9727 +/- 0.0052,0.9726 +/- 0.0053,29.00,,,,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/legacy_preprocessing_bcwvowel/mat6_architecture_vowel/attribution_summary.csv
Vowel,prod_firing,Product firing instead of HTSK,0.9475 +/- 0.0185,0.9474 +/- 0.0185,28.20,0.0000,0.9370,0.0104,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/rebuttal_full_completion/artifacts/legacy_preprocessing_bcwvowel/mat6_architecture_vowel/attribution_summary.csv
