dataset,mode,fold,model,n_features,n_train,n_val,task_kind,dependency,tuning_budget,acc,precision,recall,f1,inner_f1,inner_acc,best_params_json,status,error,runtime_sec
Breast_Cancer_Wisconsin_(Original),no_mi,3,HistGradientBoosting,80,559,140,binary,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9714285714285714,0.94,0.9791666666666666,0.9591836734693877,0.9113924050632911,0.9375,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 31}",ok,,0.23415376618504524
Breast_Cancer_Wisconsin_(Original),no_mi,3,XGBoost,80,559,140,binary,xgboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9642857142857143,0.9215686274509803,0.9791666666666666,0.9494949494949495,0.9367088607594937,0.9553571428571429,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.9}",ok,,0.2514088964089751
Breast_Cancer_Wisconsin_(Original),no_mi,3,LightGBM,80,559,140,binary,lightgbm,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9785714285714285,0.9411764705882353,1.0,0.9696969696969697,0.9367088607594937,0.9553571428571429,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""n_estimators"": 500, ""num_leaves"": 15, ""subsample"": 0.9}",ok,,0.1633229497820139
Breast_Cancer_Wisconsin_(Original),no_mi,3,CatBoost,80,559,140,binary,catboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9642857142857143,0.9215686274509803,0.9791666666666666,0.9494949494949495,0.9090909090909091,0.9375,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ok,,0.27603043895214796
Breast_Cancer_Wisconsin_(Original),no_mi,3,EBM,80,559,140,binary,interpret,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9785714285714285,0.9411764705882353,1.0,0.9696969696969697,0.9487179487179487,0.9642857142857143,"{""early_stopping_rounds"": 50, ""interactions"": 0, ""learning_rate"": 0.03, ""max_bins"": 64, ""max_rounds"": 1000, ""outer_bags"": 4}",ok,,2.804024489596486
Breast_Cancer_Wisconsin_(Original),no_mi,4,RandomForest,80,559,140,binary,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9714285714285714,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.961038961038961,0.9732142857142857,"{""class_weight"": ""balanced"", ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 500}",ok,,0.9651934243738651
Breast_Cancer_Wisconsin_(Original),no_mi,4,HistGradientBoosting,80,559,140,binary,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.95,0.9375,0.9183673469387755,0.9278350515463918,0.9333333333333333,0.9553571428571429,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 31}",ok,,0.1900564767420292
Breast_Cancer_Wisconsin_(Original),no_mi,4,XGBoost,80,559,140,binary,xgboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9642857142857143,0.9583333333333334,0.9387755102040817,0.9484536082474226,0.9473684210526315,0.9642857142857143,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.9}",ok,,0.24723523017019033
Breast_Cancer_Wisconsin_(Original),no_mi,4,LightGBM,80,559,140,binary,lightgbm,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9571428571428572,0.9574468085106383,0.9183673469387755,0.9375,0.961038961038961,0.9732142857142857,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""n_estimators"": 300, ""num_leaves"": 31, ""subsample"": 0.9}",ok,,0.15252013504505157
Breast_Cancer_Wisconsin_(Original),no_mi,4,CatBoost,80,559,140,binary,catboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9714285714285714,0.9787234042553191,0.9387755102040817,0.9583333333333334,0.961038961038961,0.9732142857142857,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.05}",ok,,0.2666602088138461
