dataset,variant,variant_label,component,n_folds,acc_mean,acc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,selected_feature_count_mean,selected_feature_count_std,base_active_features_mean,base_active_features_std,residual_active_features_mean,residual_active_features_std,union_active_features_mean,union_active_features_std,overlap_active_features_mean,overlap_active_features_std,mask_overlap_rate_mean,mask_overlap_rate_std,mask_disjointness_rate_mean,mask_disjointness_rate_std,base_rule_count_mean,base_rule_count_std,residual_rule_count_mean,residual_rule_count_std,total_rule_count_mean,total_rule_count_std,rule_weight_entropy_mean,rule_weight_entropy_std,rule_weight_entropy_norm_mean,rule_weight_entropy_norm_std,effective_rule_count_mean,effective_rule_count_std,near_zero_rule_weight_rate_mean,near_zero_rule_weight_rate_std,near_zero_rule_firing_rate_mean,near_zero_rule_firing_rate_std,near_zero_firing_or_weight_rate_mean,near_zero_firing_or_weight_rate_std,nonfinite_rule_weight_count_mean,nonfinite_rule_weight_count_std,nonfinite_rule_firing_count_mean,nonfinite_rule_firing_count_std,nonfinite_logit_count_mean,nonfinite_logit_count_std,train_seconds_mean,train_seconds_std
Spambase,full_grs,Full GRS-ANFIS,complementary,5,0.6381102771090024,0.13132918261785329,0.5895360067835016,0.11207474408475011,0.6314521406937279,0.25012346622166015,0.5609617072693546,0.14624300192825673,56.0,0.8944271909999159,40.4,3.2619012860600183,15.6,3.8262252939417984,56.0,0.8944271909999159,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,2.5132606298206652,0.09525596631770966,0.8695284913929997,0.032956302098643614,12.426107864988788,1.1616279455136163,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.059638597629965,0.12879602524531586
Spambase,prod_firing,Product firing instead of HTSK,complementary,5,0.5944254826983901,0.12193547866352364,0.5238890520238477,0.09319871372908002,0.6592788761548178,0.17133923123236575,0.5587492227113067,0.080544760135867,56.4,0.4898979485566356,51.6,1.0198039027185568,4.8,1.16619037896906,56.4,0.4898979485566356,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,1.9512526139620732,0.1622609463580072,0.6750870645182141,0.05613843334019804,7.481966943438981,1.2228289399689023,0.0658572655171156,0.01789281232815789,,,0.0658572655171156,0.01789281232815789,0.0,0.0,0.0,0.0,0.0,0.0,9.858391607180238,0.3742330532271017
Spambase,no_disjoint,No disjoint complementary routing,complementary,5,0.638343719019969,0.09372193200707166,0.5189486891658627,0.12020847128206875,0.5935999878239958,0.21197172938086634,0.5478497215031211,0.166837497606413,52.4,1.019803902718557,38.4,4.079215610874227,32.6,3.006659275674582,52.4,1.019803902718557,18.6,7.812809993849844,0.3573549174548064,0.15418678645321182,0.6426450825451935,0.15418678645321188,7.0,0.0,11.0,0.0,18.0,0.0,2.385570515253071,0.13845068272716005,0.8253507441323353,0.047900648661003645,10.992816245031047,1.5432676627426283,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.927792504802346,0.09557934556512394
Spambase,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",complementary,5,0.5500693952697918,0.14399995232920215,0.5846942704634763,0.26348347584266746,0.514048064776342,0.25959068145970843,0.45724767900072594,0.10657253946572763,56.8,0.4,43.8,2.0396078054371136,13.0,2.280350850198276,56.8,0.4,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,2.2182738916682196,0.180901109017858,0.7674700852552696,0.06258748815681606,9.35676446088621,1.5920903933132218,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.132650833763183,0.09449674727827426
Spambase,joint_training_same_budget,"Joint training, same epoch budget",complementary,5,0.6522569985365623,0.029205194821848024,0.668410058902888,0.036394206727221004,0.22607795686650536,0.12962773419833157,0.31809126156929574,0.149181758056099,53.0,0.8944271909999159,39.4,3.1368774282716245,13.6,2.4166091947189146,53.0,0.8944271909999159,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,2.4053413171475104,0.08960000433544839,0.8321909721933265,0.03099947360053657,11.15304724169876,0.9769564918770527,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.364117726497351,0.2061935068217498
Spambase,dense_tsk_same_rules,"Dense TSK-ANFIS, same total rules/epochs",full,5,0.9417540008497379,0.005142527885259668,0.930997165212139,0.011351106998422258,0.9205698369937446,0.006431228629919491,0.9257043887237669,0.006223063982318604,57.0,0.0,,,,,,,,,,,,,,,,,18.0,0.0,2.46432987931632,0.07027076213852763,0.8525996134838628,0.02431201476872309,11.810035660636833,0.8613294994625905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.969915918633342,0.3024489323441034
Spambase,no_disjoint,No disjoint complementary routing,full,5,0.9384936033611859,0.006943233180249182,0.9302755600299646,0.004417937970409963,0.9122855881771,0.018052404701545812,0.9211017778383239,0.009598236192037084,52.4,1.019803902718557,38.4,4.079215610874227,32.6,3.006659275674582,52.4,1.019803902718557,18.6,7.812809993849844,0.3573549174548064,0.15418678645321182,0.6426450825451935,0.15418678645321188,7.0,0.0,11.0,0.0,18.0,0.0,2.385570515253071,0.13845068272716005,0.8253507441323353,0.047900648661003645,10.992816245031047,1.5432676627426283,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.927792504802346,0.09557934556512394
Spambase,full_grs,Full GRS-ANFIS,full,5,0.9352332058726336,0.005835804231932981,0.9239119141871892,0.00509014412255937,0.9106357396161515,0.014287762327468916,0.9171682643032109,0.008008568301823704,56.0,0.8944271909999159,40.4,3.2619012860600183,15.6,3.8262252939417984,56.0,0.8944271909999159,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,2.5132606298206652,0.09525596631770966,0.8695284913929997,0.032956302098643614,12.426107864988788,1.1616279455136163,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.059638597629965,0.12879602524531586
Spambase,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",full,5,0.9293660010385686,0.00740406630265096,0.9149113420129739,0.012477967150129264,0.905115443739251,0.015350089116261106,0.9098722523869203,0.009567853034161035,56.8,0.4,43.8,2.0396078054371136,13.0,2.280350850198276,56.8,0.4,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,2.2182738916682196,0.180901109017858,0.7674700852552696,0.06258748815681606,9.35676446088621,1.5920903933132218,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.132650833763183,0.09449674727827426
Spambase,prod_firing,Product firing instead of HTSK,full,5,0.9219751687674078,0.010443505264033374,0.905218750397843,0.007814385100073441,0.8957307885484681,0.024469827461161737,0.9003085969062937,0.014320344278661797,56.4,0.4898979485566356,51.6,1.0198039027185568,4.8,1.16619037896906,56.4,0.4898979485566356,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,1.9512526139620732,0.1622609463580072,0.6750870645182141,0.05613843334019804,7.481966943438981,1.2228289399689023,0.0658572655171156,0.01789281232815789,,,0.0658572655171156,0.01789281232815789,0.0,0.0,0.0,0.0,0.0,0.0,9.858391607180238,0.3742330532271017
Spambase,joint_training_same_budget,"Joint training, same epoch budget",full,5,0.8569909833356938,0.0480986664908348,0.8010152558368311,0.10236452543053401,0.8863476553582028,0.060292518510057784,0.833643541066184,0.03734007924288424,53.0,0.8944271909999159,39.4,3.1368774282716245,13.6,2.4166091947189146,53.0,0.8944271909999159,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,2.4053413171475104,0.08960000433544839,0.8321909721933265,0.03099947360053657,11.15304724169876,0.9769564918770527,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.364117726497351,0.2061935068217498
Spambase,primary_only_same_budget,"Primary-only, same epoch budget",primary,5,0.933278100363499,0.00806645008652923,0.9211392686761926,0.018099834390865044,0.9089767590520982,0.016982440579859037,0.9147963512957589,0.0101644268792476,41.2,6.046486583132389,41.2,6.046486583132389,0.0,0.0,41.2,6.046486583132389,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.5816111099186223,0.07126611116097109,0.5471998826081862,0.024656382176838028,4.882751098298117,0.3438194445376934,0.6111111044883728,0.0,,,0.6111111044883728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5952375762164595,0.04968722662386223
Spambase,full_grs,Full GRS-ANFIS,primary,5,0.928714535240523,0.009308618576888973,0.9108373661872186,0.017557606553904027,0.9089874130557204,0.03691306151242106,0.9091981741304194,0.013715436135434512,56.0,0.8944271909999159,40.4,3.2619012860600183,15.6,3.8262252939417984,56.0,0.8944271909999159,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,1.587496895435393,0.14362609561991502,0.5492362252565266,0.04969121860878863,4.948096082844264,0.6674883673097562,0.6111111044883728,0.0,,,0.6111111044883728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.059638597629965,0.12879602524531586
Spambase,no_disjoint,No disjoint complementary routing,primary,5,0.924799131378936,0.0024150507896188726,0.9159247892578269,0.02951543801533896,0.8935284537996744,0.03536748092548089,0.9034380230465683,0.0034172825437567855,52.4,1.019803902718557,38.4,4.079215610874227,32.6,3.006659275674582,52.4,1.019803902718557,18.6,7.812809993849844,0.3573549174548064,0.15418678645321182,0.6426450825451935,0.15418678645321188,7.0,0.0,11.0,0.0,18.0,0.0,1.401563267004094,0.1800159978153033,0.4849076047909585,0.06228126010960194,4.137440996895046,0.7184373103174385,0.6111111044883728,0.0,,,0.6111111044883728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.927792504802346,0.09557934556512394
Spambase,prod_firing,Product firing instead of HTSK,primary,5,0.9224104234527687,0.009444865236088123,0.9050195400908319,0.00800611237138764,0.8973806371094165,0.027142798996838493,0.9009358702079708,0.013401261848319296,56.4,0.4898979485566356,51.6,1.0198039027185568,4.8,1.16619037896906,56.4,0.4898979485566356,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,1.057983854064152,0.09928287396375335,0.36603728771438054,0.034349516699209076,3.2513959157493617,0.3036552450620508,0.653990489244461,0.009553345269028717,,,0.653990489244461,0.009553345269028717,0.0,0.0,0.0,0.0,0.0,0.0,9.858391607180238,0.3742330532271017
Spambase,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",primary,5,0.8928629089364113,0.03775911738077495,0.8564223093517265,0.08622484418856124,0.894653212182092,0.06584450247592746,0.8695758857555924,0.039387633367001344,56.8,0.4,43.8,2.0396078054371136,13.0,2.280350850198276,56.8,0.4,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,1.4180135813815362,0.1256858036919284,0.4905990234707877,0.043484303162973054,4.174067865612148,0.518016611035707,0.6111111044883728,0.0,,,0.6111111044883728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.132650833763183,0.09449674727827426
Spambase,joint_training_same_budget,"Joint training, same epoch budget",primary,5,0.8063638294859086,0.0737121217723805,0.6975031024391941,0.09493479940692402,0.9536413862380714,0.02682963517359327,0.8005712240104431,0.05696433188217128,53.0,0.8944271909999159,39.4,3.1368774282716245,13.6,2.4166091947189146,53.0,0.8944271909999159,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,11.0,0.0,18.0,0.0,1.4263744391669566,0.17371205769513318,0.493491681595822,0.06010024622492537,4.2356260804796175,0.7327250087012971,0.6111111044883728,0.0,,,0.6111111044883728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.364117726497351,0.2061935068217498
