dataset,variant,variant_label,full_acc_mean,full_acc_std,full_f1_mean,full_f1_std,selected_feature_count_mean,total_rule_count_mean,mask_overlap_rate_mean,mask_disjointness_rate_mean,rule_weight_entropy_norm_mean,effective_rule_count_mean,near_zero_firing_or_weight_rate_mean,nonfinite_logit_count_mean,primary_acc_mean,primary_f1_mean,full_minus_primary_acc,full_minus_primary_f1
Spambase,dense_tsk_same_rules,"Dense TSK-ANFIS, same total rules/epochs",0.9417540008497379,0.005142527885259668,0.9257043887237669,0.006223063982318604,57.0,18.0,,,0.8525996134838628,11.810035660636833,0.0,0.0,,,,
Spambase,no_disjoint,No disjoint complementary routing,0.9384936033611859,0.006943233180249182,0.9211017778383239,0.009598236192037084,52.4,18.0,0.3573549174548064,0.6426450825451935,0.8253507441323353,10.992816245031047,0.0,0.0,0.924799131378936,0.9034380230465683,0.013694471982249934,0.017663754791755637
Spambase,full_grs,Full GRS-ANFIS,0.9352332058726336,0.005835804231932981,0.9171682643032109,0.008008568301823704,56.0,18.0,0.0,1.0,0.8695284913929997,12.426107864988788,0.0,0.0,0.928714535240523,0.9091981741304194,0.006518670632110535,0.007970090172791489
Spambase,primary_only_same_budget,"Primary-only, same epoch budget",0.933278100363499,0.00806645008652923,0.9147963512957589,0.0101644268792476,41.2,7.0,0.0,1.0,0.5471998826081862,4.882751098298117,0.6111111044883728,0.0,0.933278100363499,0.9147963512957589,0.0,0.0
Spambase,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",0.9293660010385686,0.00740406630265096,0.9098722523869203,0.009567853034161035,56.8,18.0,0.0,1.0,0.7674700852552696,9.35676446088621,0.0,0.0,0.8928629089364113,0.8695758857555924,0.0365030921021573,0.04029636663132785
Spambase,prod_firing,Product firing instead of HTSK,0.9219751687674078,0.010443505264033374,0.9003085969062937,0.014320344278661797,56.4,18.0,0.0,1.0,0.6750870645182141,7.481966943438981,0.0658572655171156,0.0,0.9224104234527687,0.9009358702079708,-0.0004352546853608752,-0.0006272733016771115
Spambase,joint_training_same_budget,"Joint training, same epoch budget",0.8569909833356938,0.0480986664908348,0.833643541066184,0.03734007924288424,53.0,18.0,0.0,1.0,0.8321909721933265,11.15304724169876,0.0,0.0,0.8063638294859086,0.8005712240104431,0.05062715384978522,0.033072317055740874
